2023-05-19 11:05:670 INFO  Homepage :44 - Click on Used cars : [[ChromeDriver: chrome on WINDOWS (e1170aff58107b10d3177479cb5653d2)] -> xpath: //a[normalize-space()='Used']]
2023-05-19 11:05:383 INFO  UsedCarPage :23 - Verify text: [[ChromeDriver: chrome on WINDOWS (e1170aff58107b10d3177479cb5653d2)] -> xpath: //h1[normalize-space()='Used Cars For Sale']]
2023-05-19 11:05:850 INFO  Homepage :34 - Buy sell tab : [[ChromeDriver: chrome on WINDOWS (4a632338661c0ab2b3c3ceb7f0e2d891)] -> xpath: //a[contains(text(),'buy + sell')]]
2023-05-19 11:05:80 INFO  Homepage :44 - Click on Used cars : [[ChromeDriver: chrome on WINDOWS (4a632338661c0ab2b3c3ceb7f0e2d891)] -> xpath: //a[normalize-space()='Used']]
2023-05-19 11:05:882 INFO  UsedCarPage :23 - Verify text: [[ChromeDriver: chrome on WINDOWS (4a632338661c0ab2b3c3ceb7f0e2d891)] -> xpath: //h1[normalize-space()='Used Cars For Sale']]
2023-05-19 11:05:966 INFO  Homepage :34 - Buy sell tab : [[ChromeDriver: chrome on WINDOWS (b382de97bedf3b36c5d302d004c2a95b)] -> xpath: //a[contains(text(),'buy + sell')]]
2023-05-19 11:05:217 INFO  Homepage :39 - Click on search cars : [[ChromeDriver: chrome on WINDOWS (b382de97bedf3b36c5d302d004c2a95b)] -> xpath: //a[contains(text(),'Search Cars')]]
2023-05-19 11:05:94 INFO  NewAndUsedCarPage :70 - Verify text: [[ChromeDriver: chrome on WINDOWS (b382de97bedf3b36c5d302d004c2a95b)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2023-05-19 11:05:310 INFO  NewAndUsedCarPage :45 - Select make : [[ChromeDriver: chrome on WINDOWS (b382de97bedf3b36c5d302d004c2a95b)] -> xpath: //select[@id='makes']]
2023-05-19 11:05:453 INFO  NewAndUsedCarPage :50 - Select model : [[ChromeDriver: chrome on WINDOWS (b382de97bedf3b36c5d302d004c2a95b)] -> xpath: //select[@id='models']]
2023-05-19 11:05:599 INFO  NewAndUsedCarPage :55 - Select location: [[ChromeDriver: chrome on WINDOWS (b382de97bedf3b36c5d302d004c2a95b)] -> xpath: //select[@id='locations']]
2023-05-19 11:05:719 INFO  NewAndUsedCarPage :60 - Select location: [[ChromeDriver: chrome on WINDOWS (b382de97bedf3b36c5d302d004c2a95b)] -> xpath: //select[@id='locations']]
2023-05-19 11:05:851 INFO  NewAndUsedCarPage :65 - Find My Next Car: [[ChromeDriver: chrome on WINDOWS (b382de97bedf3b36c5d302d004c2a95b)] -> xpath: //select[@id='locations']]
2023-05-19 11:05:361 INFO  Homepage :34 - Buy sell tab : [[ChromeDriver: chrome on WINDOWS (4a7145aad3af88969eaa3a8d25d63d2e)] -> xpath: //a[contains(text(),'buy + sell')]]
2023-05-19 11:05:27 INFO  Homepage :39 - Click on search cars : [[ChromeDriver: chrome on WINDOWS (4a7145aad3af88969eaa3a8d25d63d2e)] -> xpath: //a[contains(text(),'Search Cars')]]
2023-05-19 11:05:78 INFO  NewAndUsedCarPage :70 - Verify text: [[ChromeDriver: chrome on WINDOWS (4a7145aad3af88969eaa3a8d25d63d2e)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2023-05-19 11:05:433 INFO  NewAndUsedCarPage :45 - Select make : [[ChromeDriver: chrome on WINDOWS (4a7145aad3af88969eaa3a8d25d63d2e)] -> xpath: //select[@id='makes']]
2023-05-19 11:05:693 INFO  NewAndUsedCarPage :50 - Select model : [[ChromeDriver: chrome on WINDOWS (4a7145aad3af88969eaa3a8d25d63d2e)] -> xpath: //select[@id='models']]
2023-05-19 11:05:895 INFO  NewAndUsedCarPage :55 - Select location: [[ChromeDriver: chrome on WINDOWS (4a7145aad3af88969eaa3a8d25d63d2e)] -> xpath: //select[@id='locations']]
2023-05-19 11:05:04 INFO  NewAndUsedCarPage :60 - Select location: [[ChromeDriver: chrome on WINDOWS (4a7145aad3af88969eaa3a8d25d63d2e)] -> xpath: //select[@id='locations']]
2023-05-19 11:05:151 INFO  NewAndUsedCarPage :65 - Find My Next Car: [[ChromeDriver: chrome on WINDOWS (4a7145aad3af88969eaa3a8d25d63d2e)] -> xpath: //select[@id='locations']]
2023-05-19 12:05:405 INFO  Homepage :34 - Buy sell tab : [[ChromeDriver: chrome on WINDOWS (11256ccddb0268d320c2f0766bf08112)] -> xpath: //a[contains(text(),'buy + sell')]]
2023-05-19 12:05:650 INFO  Homepage :48 - Click on Find a dealer : [[ChromeDriver: chrome on WINDOWS (11256ccddb0268d320c2f0766bf08112)] -> xpath: //a[contains(text(),'Find a Dealer')]]
2023-05-19 12:05:30 INFO  Homepage :34 - Buy sell tab : [[ChromeDriver: chrome on WINDOWS (71a83cd3a7b157afc65defcc479a9a68)] -> xpath: //a[contains(text(),'buy + sell')]]
2023-05-19 12:05:415 INFO  Homepage :39 - Click on search cars : [[ChromeDriver: chrome on WINDOWS (71a83cd3a7b157afc65defcc479a9a68)] -> xpath: //a[contains(text(),'Search Cars')]]
2023-05-19 12:05:116 INFO  NewAndUsedCarPage :70 - Verify text: [[ChromeDriver: chrome on WINDOWS (71a83cd3a7b157afc65defcc479a9a68)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2023-05-19 12:05:153 INFO  NewAndUsedCarPage :45 - Select make : [[ChromeDriver: chrome on WINDOWS (71a83cd3a7b157afc65defcc479a9a68)] -> xpath: //select[@id='makes']]
2023-05-19 12:05:308 INFO  NewAndUsedCarPage :50 - Select model : [[ChromeDriver: chrome on WINDOWS (71a83cd3a7b157afc65defcc479a9a68)] -> xpath: //select[@id='models']]
2023-05-19 12:05:425 INFO  NewAndUsedCarPage :55 - Select location: [[ChromeDriver: chrome on WINDOWS (71a83cd3a7b157afc65defcc479a9a68)] -> xpath: //select[@id='locations']]
2023-05-19 12:05:534 INFO  NewAndUsedCarPage :60 - Select location: [[ChromeDriver: chrome on WINDOWS (71a83cd3a7b157afc65defcc479a9a68)] -> xpath: //select[@id='locations']]
2023-05-19 12:05:682 INFO  NewAndUsedCarPage :65 - Find My Next Car: [[ChromeDriver: chrome on WINDOWS (71a83cd3a7b157afc65defcc479a9a68)] -> xpath: //select[@id='locations']]
2023-05-19 12:05:121 INFO  Homepage :34 - Buy sell tab : [[ChromeDriver: chrome on WINDOWS (caf6cc310b59fb2cb5f46f6d9764e540)] -> xpath: //a[contains(text(),'buy + sell')]]
2023-05-19 12:05:332 INFO  Homepage :39 - Click on search cars : [[ChromeDriver: chrome on WINDOWS (caf6cc310b59fb2cb5f46f6d9764e540)] -> xpath: //a[contains(text(),'Search Cars')]]
2023-05-19 12:05:508 INFO  NewAndUsedCarPage :70 - Verify text: [[ChromeDriver: chrome on WINDOWS (caf6cc310b59fb2cb5f46f6d9764e540)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
